date,dir,entry,exit,contracts,reason,pnl_gross,pnl_net,bar,q
2020-09-17,1,11041.181869863713,11084.327910262487,1,TP,862.9208079754972,857.9208079754972,69,
2020-09-17,-1,11090.84,11115.89,1,SL,-500.99999999998545,-510.99999999998545,73,
2020-09-17,1,11062.462883009042,11032.21,1,SL,-605.0576601808643,-615.0576601808643,142,
2020-09-21,-1,10800.56284587886,10825.18,1,SL,-492.3430824228126,-502.3430824228126,17,
2020-09-21,-1,10817.0,10850.26,1,SL,-665.2000000000044,-675.2000000000044,20,
2020-09-21,1,10775.287631092431,10756.34,1,BE,-378.95262184862077,-388.95262184862077,54,
2020-09-22,-1,11039.099945585365,11044.69,1,BE,-111.80108829270466,-121.80108829270466,41,
2020-09-22,1,11007.740364973648,10965.44,1,SL,-846.007299472949,-856.007299472949,90,
2020-09-23,-1,11150.738440856772,11157.13,2,BE,-255.66236572907655,-275.66236572907655,19,
2020-09-23,1,11134.873499294232,11118.7,2,SL,-646.9399717692431,-666.9399717692431,23,
2020-09-23,1,11085.408810877825,11077.57,1,BE,-156.77621755650762,-166.77621755650762,112,
2020-09-24,-1,10774.043399977227,10799.64,1,SL,-511.9320004554538,-521.9320004554538,16,
2020-09-24,-1,10824.91,10830.98,1,SL,-121.39999999999418,-131.39999999999418,18,
2020-09-28,-1,11329.062089886069,11314.109393015113,2,TP,598.1078748382424,588.1078748382424,13,
2020-09-28,-1,11308.534136609405,11325.84,1,SL,-346.11726781189645,-356.11726781189645,52,
2020-09-29,1,11359.02,11345.23,3,SL,-827.4000000000524,-857.4000000000524,14,
2020-09-29,1,11351.31,11376.58718513737,2,TP,1011.0874054948363,1001.0874054948363,17,
2020-09-29,-1,11380.09,11356.336807889653,2,TP,950.127684413892,940.127684413892,26,
2020-09-29,1,11355.910089216606,11375.010416861636,2,TP,764.0131058012048,754.0131058012048,35,
2020-09-29,-1,11375.25858792135,11386.57,2,SL,-452.45648314601567,-472.45648314601567,40,
2020-09-30,1,11339.592418361215,11355.631494283129,2,TP,641.5630368765414,631.5630368765414,17,
2020-09-30,-1,11361.35,11391.46,4,SL,-2408.799999999901,-2448.799999999901,22,
2020-10-01,1,11553.900911218807,11535.48,2,SL,-736.8364487522922,-756.8364487522922,17,
2020-10-01,-1,11549.180795405126,11522.334601965727,1,TP,536.9238687879624,531.9238687879624,78,
2020-10-01,-1,11543.284723966111,11562.05,1,SL,-375.30552067775716,-385.30552067775716,126,
2020-10-01,1,11516.796006901732,11549.36409113254,1,TP,651.3616846161676,646.3616846161676,204,
2020-10-05,1,11362.16827535053,11373.771678016754,3,TP,696.2041599734221,681.2041599734221,22,
2020-10-06,-1,11474.878593238824,11489.96,2,SL,-603.2562704470183,-623.2562704470183,33,
2020-10-06,-1,11494.62,11498.57,4,SL,-315.9999999999127,-355.9999999999127,40,
2020-10-06,1,11465.393167531243,11459.56,1,BE,-116.66335062487633,-126.66335062487633,96,
2020-10-07,1,11432.184730349853,11421.79,3,SL,-623.6838209911002,-653.6838209911002,31,
2020-10-08,-1,11566.041805575851,11548.653128876585,2,TP,695.5470679706195,685.5470679706195,33,
2020-10-08,-1,11552.864697048262,11564.3,2,SL,-457.4121180694783,-477.4121180694783,105,
