date,time,volume
2026-08-20,10:35,241881
2026-08-20,10:40,538852
2026-08-20,10:45,374604
2026-08-20,10:50,245764
2026-08-20,10:55,266129
2026-08-20,11:00,903821
2026-08-20,11:05,708991
2026-08-20,11:10,657901
2026-08-20,11:15,348262
2026-08-20,11:20,556408
2026-08-20,11:25,361681
2026-08-20,11:30,260742
2026-08-20,11:35,580915
2026-08-20,11:40,308538
2026-08-20,11:45,334990
2026-08-20,11:50,387050
2026-08-20,11:55,290791
2026-08-20,12:00,302130
2026-08-20,12:05,176474
2026-08-20,12:10,193733
2026-08-20,12:15,156878
2026-08-20,12:20,342804
2026-08-20,12:25,159033
2026-08-20,12:30,168451
2026-08-20,12:35,193454
2026-08-20,12:40,264812
2026-08-20,12:45,302471
2026-08-20,12:50,198469
2026-08-20,12:55,240863
2026-08-20,13:00,203595
2026-08-20,13:05,264638
2026-08-20,13:10,312538
2026-08-20,13:15,416957
2026-08-20,13:20,354371
2026-08-20,13:25,274481
2026-08-20,13:30,275149
2026-08-20,13:35,281544
2026-08-20,13:40,285937
2026-08-20,13:45,295092
2026-08-20,13:50,252014
2026-08-20,13:55,232520
2026-08-20,14:00,372938
2026-08-20,14:05,384327
2026-08-20,14:10,506521
2026-08-20,14:15,556079
2026-08-20,14:20,331078
2026-08-20,14:25,234431
2026-08-20,14:30,305119
2026-08-20,14:35,285566
2026-08-20,14:40,277240
2026-08-20,14:45,400838
2026-08-20,14:50,488047
2026-08-20,14:55,388955
2026-08-20,15:00,424049
2026-08-20,15:05,417845
2026-08-20,15:10,378938
2026-08-20,15:15,395078
2026-08-20,15:20,498238
2026-08-20,15:25,477204
2026-08-20,15:30,938372
2026-08-20,15:35,878204
2026-08-20,15:40,875171
2026-08-20,15:45,1420528
2026-08-20,15:50,1367383
2026-08-20,15:55,5284942
2026-08-21,09:30,2183133
2026-08-21,09:35,936515
2026-08-21,09:40,694462
2026-08-21,09:45,636844
2026-08-21,09:50,409975
2026-08-21,09:55,338253
2026-08-21,10:00,266966
2026-08-21,10:05,394655
2026-08-21,10:10,271319
2026-08-21,10:15,373509
2026-08-21,10:20,1395844
2026-08-21,10:25,295025
2026-08-21,10:30,202029
2026-08-21,10:35,307472
2026-08-21,10:40,256214
2026-08-21,10:45,258973
2026-08-21,10:50,204246
2026-08-21,10:55,314945
2026-08-21,11:00,828488
2026-08-21,11:05,426005
2026-08-21,11:10,184850
2026-08-21,11:15,311709
2026-08-21,11:20,271128
2026-08-21,11:25,366942
2026-08-21,11:30,3359717
